year,specefic_date,total sale_dollars,total state_bottle_cost,total state_bottle_retail,total bottles_sold,total volume_sold_liters
2012,07-17,6802.849999999996,489.1,734.11,579,482.76
2012,07-16,7229.200000000001,482.98999999999995,726.82,568,437.38
2012,08-20,5607.14,378.16999999999996,569.0600000000001,498,361.5
2012,07-18,5828.899999999998,361.6999999999999,544.78,485,360.38
2012,11-19,6612.41,452.76000000000016,680.3600000000002,587,466.88
2012,08-30,14601.220000000007,706.77,1061.7399999999996,962,804.38
2012,07-10,8559.079999999998,562.6700000000001,845.8100000000002,796,572.26
2012,07-11,6249.86,429.2200000000001,645.8599999999997,610,465.88
2012,09-05,7656.36,487.71000000000004,732.4200000000002,742,536.38
2012,12-19,9682.779999999999,639.98,964.1400000000001,815,591.38
2012,12-31,10792.119999999999,563.9100000000001,847.5700000000003,860,700.76
2012,05-17,6678.509999999998,410.9600000000001,619.8000000000001,617,451.88
2012,02-29,3827.380000000001,238.53000000000003,358.71999999999997,377,292.88
2012,06-20,5331.219999999999,363.5600000000001,546.88,563,414.38
2012,02-09,8122.549999999998,486.06000000000006,733.83,790,566.26
2012,08-15,6139.289999999999,369.71000000000015,554.8800000000001,539,405.38
2012,06-26,17917.660000000003,743.1999999999999,1121.54,1540,1182.76
2012,11-05,6865.71,435.3300000000001,654.3000000000001,593,421.88
2012,03-07,5690.2,385.48999999999995,580.8199999999998,531,401.76
2012,01-12,6736.999999999998,503.1099999999999,754.0499999999998,627,491.64
2012,01-10,6980.92,480.58999999999986,721.7699999999999,496,452.38
2012,11-08,10841.84,635.4799999999999,954.6700000000001,850,639.76
2012,09-12,7992.44,549.9699999999999,826.1600000000001,732,545.76
2012,03-19,7126.3,466.8299999999999,701.6,670,512.38
2012,02-20,6762.28,444.74,669.6899999999999,586,429.88
2012,12-18,10589.530000000004,643.8,971.2800000000001,956,672.02
2012,09-18,9807.690000000006,554.0,832.5699999999999,814,554.38
2012,01-31,7875.350000000001,527.21,791.1200000000001,714,546.0
2012,05-02,5873.950000000003,382.31,576.5199999999999,490,405.76
2012,11-29,9863.190000000002,589.68,886.8400000000003,882,615.0
2012,05-31,8553.740000000002,542.3200000000002,818.64,828,574.5
2012,06-14,7975.439999999999,503.3699999999999,755.9500000000002,737,520.88
2012,04-03,7344.489999999999,534.1999999999999,805.2100000000002,623,505.88
2012,04-30,6270.41,402.47999999999996,606.2199999999998,574,432.76
2012,11-20,7471.1,462.45,694.8100000000001,688,506.26
2012,02-14,5879.7,440.51000000000005,665.3899999999999,496,411.76
2012,12-10,7396.230000000001,446.81000000000006,673.2400000000001,737,517.88
2012,10-17,11571.090000000002,600.1700000000002,905.7400000000001,917,867.38
2012,10-01,11366.190000000008,483.61999999999995,733.8899999999996,970,848.38
2012,10-10,7363.09,454.2300000000001,686.9099999999999,610,479.38
2012,11-01,7460.600000000001,451.7800000000001,678.8,693,493.5
2012,12-11,10651.050000000005,704.21,1061.61,765,571.76
2012,07-24,8582.86,480.1899999999999,722.78,760,563.26
2012,08-07,10501.020000000004,669.0600000000003,1008.32,899,670.88
2012,12-28,10694.950000000003,740.0699999999997,1117.8000000000002,851,679.88
2012,06-19,8026.2699999999995,539.93,814.1199999999999,730,591.88
2012,04-02,6167.489999999999,389.44999999999993,590.1999999999998,503,397.88
2012,05-08,6978.45,471.88999999999993,710.6599999999999,647,489.38
2012,10-02,6446.599999999999,453.35,684.1000000000001,629,462.38
2012,12-03,7865.140000000002,461.90000000000003,697.7399999999999,694,500.38
2012,01-03,7465.950000000001,480.26,721.53,731,538.88
2012,05-16,5899.499999999999,375.1900000000001,564.79,520,404.26
2012,07-19,12647.490000000009,675.4699999999999,1015.7200000000003,959,741.38
2012,09-19,6527.3499999999985,447.47999999999996,671.61,598,461.26
2012,01-25,4955.130000000002,297.0,446.08000000000004,503,367.88
2012,04-25,6657.779999999998,414.4799999999999,628.3699999999998,652,494.38
2012,11-17,6913.539999999998,482.26000000000005,725.8600000000002,539,447.38
2012,12-20,11031.310000000009,688.9000000000001,1038.6400000000003,886,672.76
2012,12-27,15244.910000000005,890.1900000000002,1343.15,1264,908.26
2012,02-23,8125.249999999999,446.28000000000003,672.77,712,495.76
2012,04-23,13912.430000000002,450.47,676.6500000000001,910,714.88
2012,07-26,6514.869999999999,430.62,647.18,623,471.38
2012,07-02,9857.610000000002,631.64,950.2700000000002,874,647.26
2012,11-07,5690.669999999997,373.1000000000001,561.22,485,400.88
2012,10-04,10730.640000000003,605.98,914.8600000000002,839,632.5
2012,02-16,5535.009999999999,376.06000000000006,565.82,587,400.88
2012,11-15,11252.090000000006,589.7,886.9800000000004,900,663.0
2012,03-12,8743.540000000003,441.52,663.7800000000001,863,720.38
2012,04-24,7535.949999999999,473.8700000000002,714.02,742,533.26
2012,01-17,4247.0,336.44999999999993,506.7500000000001,336,298.5
2012,08-21,7267.469999999998,474.34000000000003,712.9000000000001,641,501.38
